race_id,year,round_num,event,n_drivers,spearman_model,spearman_baseline,mae_model,mae_baseline,ndcg_model,ndcg_baseline,top3_model,top3_baseline,top5_model,top5_baseline,within2_model,within2_baseline
202315,2023,15,Singapore Grand Prix,19,0.8105263157894737,0.39473684210526316,2.6315789473684212,4.842105263157895,0.9625151074129886,0.9180160357797975,0.3333333333333333,0.3333333333333333,0.8,0.8,0.6842105263157895,0.3157894736842105
202316,2023,16,Japanese Grand Prix,20,0.9233082706766916,0.7503759398496239,1.8,2.6,0.9837706219678585,0.9769755981233941,0.3333333333333333,1.0,0.6,0.8,0.8,0.6
202319,2023,19,Mexico City Grand Prix,20,0.8586466165413533,0.35187969924812035,2.2,4.9,0.988026663174976,0.8438917153326324,0.6666666666666666,0.3333333333333333,0.8,0.6,0.55,0.35
202321,2023,21,Las Vegas Grand Prix,20,0.8481203007518796,0.2992481203007519,2.6,5.6,0.9712699583216227,0.9310578226130288,0.6666666666666666,0.6666666666666666,0.4,0.4,0.6,0.3
202322,2023,22,Abu Dhabi Grand Prix,20,0.8977443609022555,0.8796992481203006,2.0,2.1,0.9856416048964158,0.9879802676443079,0.6666666666666666,0.6666666666666666,0.8,0.8,0.8,0.6
202401,2024,1,Bahrain Grand Prix,20,0.8390977443609022,0.8857142857142858,2.5,2.3,0.9864902084294142,0.9865871025570419,0.6666666666666666,0.3333333333333333,0.8,1.0,0.7,0.65
202402,2024,2,Saudi Arabian Grand Prix,20,0.9052631578947368,0.831578947368421,1.9,2.5,0.9901372841102469,0.9884558011608119,1.0,1.0,0.6,1.0,0.7,0.7
202403,2024,3,Australian Grand Prix,19,0.7736842105263159,0.4473684210526316,3.1578947368421053,3.8947368421052633,0.97364343307123,0.836924411945475,0.6666666666666666,0.6666666666666666,0.8,0.8,0.47368421052631576,0.5263157894736842
202404,2024,4,Japanese Grand Prix,20,0.77593984962406,0.8601503759398496,3.1,2.2,0.9611801616385305,0.9897596814421095,0.6666666666666666,0.6666666666666666,0.4,0.8,0.4,0.75
202407,2024,7,Emilia Romagna Grand Prix,20,0.7999999999999999,0.8887218045112781,2.8,2.1,0.964776751459646,0.9932152775905401,0.3333333333333333,1.0,0.4,1.0,0.5,0.7
